observations,subject_ids,lh_G_and_S_frontomargin,lh_G_and_S_occipital_inf,lh_G_and_S_paracentral,lh_G_and_S_subcentral,lh_G_and_S_transv_frontopol
0,AnnArbor_a_sub04111,0.22608254253065035,-1.5999496873670236,-1.4963205934902974,-0.19789200903620913,0.611434469032736
1,AnnArbor_a_sub04619,-2.035991924487189,-0.035432313677817975,-0.7339355846406691,-1.619287448208517,-1.3698260431056706
4,AnnArbor_a_sub20317,0.5849721043521293,1.1939736583792806,-0.1140657693330478,-0.23516270741145495,0.305548153073488
6,AnnArbor_a_sub30421,-0.3291043423684973,-0.6157739693897286,-1.2965023895642929,-1.0417213457490688,1.0562009589368067
8,AnnArbor_a_sub38614,-1.128805207721722,0.4109059843310451,2.892875316952941,-0.048993404735337344,-1.6294658053933602
9,AnnArbor_a_sub45660,1.7646912929832266,0.22944944356695,-1.2957139071092134,0.1641372464265574,0.564738347108783
10,AnnArbor_a_sub46727,-1.6387890209020697,0.09887219580862529,1.0780471937184306,-0.147294886114339,-0.5032208761836513
11,AnnArbor_a_sub47191,-0.42134663633414016,-1.6210661220939049,0.5229467558377012,0.5717322763914097,-0.9327649982998265
12,AnnArbor_a_sub47659,-0.07981196574124688,-0.005504268350039631,0.3737184522405399,0.7630957093645525,1.3925020628550777
13,AnnArbor_a_sub49687,-0.8940135085866006,-1.5903994323557549,-1.284356069312998,0.6638733253869824,-1.1264865091841532
14,AnnArbor_a_sub51248,0.981333498003025,-1.0515585474062878,-1.4175867078226572,-0.7713698002620926,-0.0065100547382728495
15,AnnArbor_a_sub56028,-0.39776981754328955,0.6834791853355966,-0.32723257191419136,0.5599942128035155,0.7341214912438596
17,AnnArbor_a_sub70106,-0.6646325969429445,-0.5402687098769527,0.8998539606852739,1.2707239987762604,-0.7990876777411978
18,AnnArbor_a_sub75922,0.6565417867122207,0.7955785667718146,0.3238571728079801,0.6621164357398859,0.7602943667304347
19,AnnArbor_a_sub82334,0.30227984197253915,0.892865027905464,0.875787924953753,-0.5293336782168406,0.4323050369271353
20,AnnArbor_a_sub86367,0.9082362359141939,1.6897591213523349,-0.13212069519312777,-2.0901761354024972,0.3520018238924288
21,AnnArbor_a_sub96621,1.4143603555277395,0.06166682906307398,0.285791974360162,0.15787096406988285,-0.18612670256471622
22,AnnArbor_b_sub00306,0.6183926460870931,-0.038046531857996994,0.7332838668324114,-1.133246913724074,-0.014693241414013578
23,AnnArbor_b_sub07921,-1.5638433780262342,0.45199587272705183,1.2224905003843403,1.3196340769577903,-0.2990100052370333
24,AnnArbor_b_sub11043,-0.7795616324351832,0.4123487949666282,-0.3434826812567109,-0.05569264140628342,-2.3395239706183384
25,AnnArbor_b_sub18546,-1.227461766175878,0.34363918158746976,-0.2605932061924234,-0.5244730080556991,-0.21079579137634596
26,AnnArbor_b_sub26099,-1.0169452083367168,2.0545499870238912,0.9514650687973587,0.8218995229293038,-0.28829854971490637
27,AnnArbor_b_sub30250,-0.08266771173314147,-0.9515127594151369,1.5525148720411828,0.016608516003458782,1.066918909750383
28,AnnArbor_b_sub33437,1.4817869076848729,0.562799185790909,0.5422361832957561,1.0652338483905202,0.9584335807622165
29,AnnArbor_b_sub39635,0.32183006058786556,-0.15742234912416006,-0.2592515764422875,-0.9637630965240881,0.53435456744482
30,AnnArbor_b_sub39923,1.2238729123735215,-0.1217581021041584,-0.01442391616807962,0.07507073788079781,1.8318940848387544
31,AnnArbor_b_sub42616,0.16837605641832087,1.8573763546453315,-1.344659578737297,-0.9257173274964177,-1.3542580175980454
33,AnnArbor_b_sub45569,1.115705493483198,-1.6552113852982844,-0.3042165700553844,0.3982323663078863,-1.449786344353343
34,AnnArbor_b_sub50859,0.4766728360099706,-0.8100982870174548,0.6585463550726582,0.3138591792871093,-0.3791182950263299
35,AnnArbor_b_sub53269,2.7659369879047433,-0.5520526246729589,-0.9365191815286873,-0.5518145374350467,3.735012182015131
36,AnnArbor_b_sub53959,-0.07641160403223922,-0.10770841087845859,0.5796587667576268,-1.3445799590232954,-0.3401040200466096
38,AnnArbor_b_sub57196,1.2420864113110026,0.3311272529959535,-0.22138456643613416,1.8401379609128623,2.0918380063237696
40,AnnArbor_b_sub62819,-1.1376190240665218,0.3848746153535561,-0.36813906826161225,-0.0027481241160206937,0.5174387164081685
41,AnnArbor_b_sub64831,-1.6934728400666232,0.024131979595531504,-1.1960053177258556,1.0042016997549856,0.6054904215034629
42,AnnArbor_b_sub64969,-0.8882423865712543,-0.47249186933002474,-0.3434826812567109,-0.7392834661913895,-0.2986159250762926
43,AnnArbor_b_sub66506,1.0755986719726411,0.22470653268598692,1.0883131492311209,-1.1254604045328547,-0.6320049921832832
45,AnnArbor_b_sub73168,-0.7117544034413498,-0.18452011616248057,0.45387137105472936,0.39482651436953253,1.0863333915916475
