observations,subject_ids,lh_G_and_S_frontomargin,lh_G_and_S_occipital_inf,lh_G_and_S_paracentral,lh_G_and_S_subcentral,lh_G_and_S_transv_frontopol
242,Beijing_Zang_sub56757,-0.7892588184253885,-0.8411352409130692,-0.7446391058065689,-1.1406344053582278,-0.9553166973462062
243,Beijing_Zang_sub58029,-1.4274633256340123,-0.8731339204043076,-0.714281191792197,-1.418986522149861,-0.8313556373475084
244,Beijing_Zang_sub58332,-0.8000950278263399,-0.8441463226948436,-0.7119432037097798,-0.9650073784589857,-1.0423828623559688
245,Beijing_Zang_sub58614,-1.0347509854452415,-0.9391703786944575,-0.6493086810835846,-1.3363859204740576,-1.1831219717554773
247,Beijing_Zang_sub59448,-1.2370822047749144,-0.8832304040042104,-0.9308455948568565,-1.033524514631173,-1.9124379451402902
248,Beijing_Zang_sub61961,-0.8071240521713247,-2.295301307841778,-3.1346922678605944,-2.462728335391801,-1.3312668410787705
249,Beijing_Zang_sub62083,-1.426753472195573,-1.3696887373921205,-0.708663730623157,-1.3130207392127178,-0.9493809717743453
251,Beijing_Zang_sub62843,-1.5479932417973856,-1.367316797739481,-0.6495355798873392,-0.8023393125700119,-1.0246408960176692
252,Beijing_Zang_sub62966,-0.7993228779006696,-0.9136351982912826,-0.6541269998186985,-1.1235667012236727,-1.0208526118867665
253,Beijing_Zang_sub64923,-1.2607565673019558,-2.497448099787222,-1.1248102224588323,-1.4334595837260855,-1.102807363160594
254,Beijing_Zang_sub65467,-0.8703414124987757,-4.5831014192070185,-1.573522061710395,-1.299223348716787,-0.8534262074000195
255,Beijing_Zang_sub65659,-2.378603227005011,-0.9890715610963418,-0.6369528137808083,-0.7958474639190853,-1.4597764319953017
256,Beijing_Zang_sub66158,-0.9835045364262769,-0.8450712979228184,-0.7774220141661586,-0.9273714248076267,-0.9775460067100874
258,Beijing_Zang_sub66781,-0.7954191641525165,-1.003282328104606,-1.144448688581826,-1.002380659625561,-0.8520026973177897
261,Beijing_Zang_sub67844,-0.9445199057842324,-0.8724433694902264,-0.9615691853568598,-0.7956059939594416,-0.864626013494049
262,Beijing_Zang_sub68012,-0.7775227259043901,-6.465313788491133,-1.192456288679368,-5.607753648912835,-1.4648642970361576
263,Beijing_Zang_sub68597,-0.8611734779973994,-1.0055794635117472,-1.0379779893612537,-0.8602424278117269,-0.8792254482100926
264,Beijing_Zang_sub69518,-0.9020264431669694,-0.9156889754281622,-0.6367335598479933,-1.1254361548735499,-1.0802546105386066
